id,active,acquired,cost,type,weight,newtag,tag,tagdam,breed,description,purchased,sireId,damId,dateUpdated
237,Yes,06/12/13 00:00:00,0,Steer,0,W26S,,P71,,,0,,,
238,Yes,06/11/13 00:00:00,0,Steer,0,W25S,,P82,,,0,,,
239,Yes,06/08/13 00:00:00,0,Steer,0,W20S,,P79,,,0,,,
240,Yes,06/08/13 00:00:00,0,Steer,0,W22S,,P78,,,0,,,
241,Yes,06/08/13 00:00:00,0,Steer,0,W23S,,P12,,,0,,,
242,Yes,06/07/13 00:00:00,0,Steer,0,W19S,,P35,,,0,,,
243,Yes,06/06/13 00:00:00,0,Steer,0,W16S,,P3,,,0,,,
244,Yes,06/05/13 00:00:00,0,Steer,0,W13S,,P18,,,0,,,
245,Yes,06/04/13 00:00:00,0,Steer,0,W11S,,P11,,,0,,,
246,Yes,06/04/13 00:00:00,0,Steer,0,W12S,,P46,,,0,,,
247,Yes,05/31/13 00:00:00,0,Steer,0,W5S,,P74,,,0,,,
248,Yes,05/30/13 00:00:00,0,Steer,0,W3S,,P84,,,0,,,
249,Yes,05/30/13 00:00:00,0,Steer,0,W4S,,P72,,,0,,,
250,Yes,05/29/13 00:00:00,0,Steer,0,W1S,,P33,,,0,,,
251,Yes,00/00/00 00:00:00,0,Steer,0,,O55,,,,0,,,
252,Yes,00/00/00 00:00:00,0,Steer,0,,O57,,,,0,,,
253,Yes,00/00/00 00:00:00,0,Steer,0,,O59,,,,0,,,
254,Yes,00/00/00 00:00:00,0,Steer,0,,O48,,DAIRY STEER OUR,,0,,,
255,No,00/00/00 00:00:00,0,Steer,0,,O54,,,,0,,,
256,No,00/00/00 00:00:00,0,Steer,0,,O58,,,,0,,,
257,No,00/00/00 00:00:00,0,Steer,0,,O60,,,,0,,,
258,No,00/00/00 00:00:00,0,Steer,0,,O61,,,,0,,,
259,No,00/00/00 00:00:00,0,Steer,0,,O63,,,,0,,,
260,Yes,07/20/12 00:00:00,0,Steer,0,,O47,Y114,,,0,,,
261,No,07/17/12 00:00:00,0,Steer,0,,O49,W24,,,0,,,
262,Yes,07/06/12 00:00:00,0,Steer,0,,O39,Y11,,,0,,,
263,No,07/01/12 00:00:00,0,Steer,0,,O33,W48,,,0,,,
264,Yes,06/28/12 00:00:00,0,Steer,0,,O32,W1,,,0,,,
265,Yes,06/25/12 00:00:00,0,Steer,0,,O30,G431,,,0,,,
266,No,06/23/12 00:00:00,0,Steer,0,,O29,W111,,,0,,,
267,Yes,06/18/12 00:00:00,0,Steer,0,,O27,Y116,,,0,,,
268,No,06/17/12 00:00:00,0,Steer,0,,O26,W149,,,0,,,
269,Yes,06/05/12 00:00:00,0,Steer,0,,O20,G427,,,0,,,
270,No,06/05/12 00:00:00,0,Steer,0,,O19,G452,,,0,,,
271,No,06/02/12 00:00:00,0,Steer,0,,O18,W135,,,0,,,
272,Yes,05/28/12 00:00:00,0,Steer,0,,O17,W134,,,0,,,
273,No,05/26/12 00:00:00,0,Steer,0,,O14,W142,,,0,,,
274,No,05/25/12 00:00:00,0,Steer,0,,O13,W12,,,0,,,
275,Yes,05/24/12 00:00:00,0,Steer,0,,O11,W19,,,0,,,
276,No,05/23/12 00:00:00,0,Steer,0,,O10,Y45,MG,,0,,,
277,No,05/20/12 00:00:00,0,Steer,0,,O08,W106,,,0,,,
278,No,06/16/11 00:00:00,0,Steer,0,,W171,W019,,,0,,,
279,No,06/08/11 00:00:00,0,Steer,0,,W169,R24,,,0,,,
280,No,06/06/11 00:00:00,0,Steer,0,,B17,,,,0,,,
281,No,06/06/11 00:00:00,0,Steer,0,,B15,,Bleeding after castration,,0,,,
282,No,06/06/11 00:00:00,0,Steer,0,,B16,,,,0,,,
283,No,06/06/11 00:00:00,0,Steer,0,,B18,,,,0,,,
284,No,06/06/11 00:00:00,0,Steer,0,,B19,,,,0,,,
285,No,06/06/11 00:00:00,0,Steer,0,,B20,,,,0,,,
286,No,06/06/11 00:00:00,0,Steer,0,,B21,,,,0,,,
287,No,06/06/11 00:00:00,0,Steer,0,,B22,W20,,,0,,,
288,No,06/06/11 00:00:00,0,Steer,0,,B24,,,,0,,,
289,No,06/06/11 00:00:00,0,Steer,0,,B25,,,,0,,,
290,No,06/06/11 00:00:00,0,Steer,0,,P17,,,,0,,,
291,No,06/06/11 00:00:00,0,Steer,0,,P18,,Dun,,0,,,
292,No,06/06/11 00:00:00,0,Steer,0,,P19,,Four white feet,,0,,,
293,No,06/06/11 00:00:00,0,Steer,0,,P20,,,,0,,,
294,No,06/06/11 00:00:00,0,Steer,0,,P23,,Dun,,0,,,
295,No,06/06/11 00:00:00,0,Steer,0,,P24,,Four white feet - Stag,,0,,,
296,No,06/06/11 00:00:00,0,Steer,0,,P25,,,,0,,,
297,No,06/06/11 00:00:00,0,Steer,0,,W168,W046,,,0,,,
298,No,06/06/11 00:00:00,0,Steer,0,,W172,,,,0,,,
299,No,06/06/11 00:00:00,0,Steer,0,,W173,,,,0,,,
300,No,06/06/11 00:00:00,0,Steer,0,,W174,,,,0,,,
301,No,06/06/11 00:00:00,0,Steer,0,,W175,,Bleeding after castration,,0,,,
302,No,05/26/11 00:00:00,0,Steer,0,,W163,R12,,,0,,,
303,No,05/21/11 00:00:00,0,Steer,0,,W161,W038,,,0,,,
304,No,05/18/11 00:00:00,0,Steer,0,,W160,G437,,,0,,,
305,No,05/13/11 00:00:00,0,Steer,0,,W158,?,,,0,,,
306,No,05/09/11 00:00:00,0,Steer,0,,W156,?,,,0,,,
307,No,10/16/10 00:00:00,0,Steer,0,,W073,,,,0,,,
308,No,10/12/10 00:00:00,0,Steer,0,,W067,W043,,,0,,,
309,No,10/12/10 00:00:00,0,Steer,0,,W068,W022,,,0,,,
310,No,10/07/10 00:00:00,0,Steer,0,,W075,W124,,,0,,,
311,No,08/17/10 00:00:00,0,Steer,0,,W066,W003,Black,,0,,,
312,No,08/15/10 00:00:00,0,Steer,0,,W064,W016,Black,,0,,,
313,No,08/01/10 00:00:00,0,Steer,0,,W062,W019,Black,,0,,,
314,No,07/29/10 00:00:00,0,Steer,0,,W060,W020,Black,,0,,,
315,No,07/24/10 00:00:00,0,Steer,0,,W058,W011,Red with white,,0,,,
316,No,07/21/10 00:00:00,0,Steer,0,,W057,W010,Black White Face,,0,,,
317,No,07/19/10 00:00:00,0,Steer,0,,W056,W024,Red,,0,,,
318,No,07/10/10 00:00:00,0,Steer,0,,W055,W126,Red,,0,,,
319,No,03/01/10 00:00:00,0,Steer,0,,W138,R02,Red,,0,,,
320,No,03/01/10 00:00:00,0,Steer,0,,W132/P15,W038,Brown,,0,,,
321,No,03/01/10 00:00:00,0,Steer,0,,W139,W042,Black white face (Patch),,0,,,
322,No,03/01/10 00:00:00,0,Steer,0,,W140,G408,Red,,0,,,
323,No,03/01/10 00:00:00,0,Steer,0,,W141/P14,W039,Black and White,,0,,,
324,No,03/01/10 00:00:00,0,Steer,0,,W144,W049,Champaigne,,0,,,
325,No,03/01/10 00:00:00,0,Steer,0,,W146/P7,,Black,,0,,,
326,No,03/01/10 00:00:00,0,Steer,0,,W150/P14,W125,Red,,0,,,
327,No,12/14/09 00:00:00,0,Steer,0,,W101,,Black,,0,,,
328,No,12/14/09 00:00:00,0,Steer,0,,W103,W043,Black,,0,,,
